Net generation United States all sectors monthly
https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvg&geo=g&sec=g&linechart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M&columnchart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=202304&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=
10:34:47 GMT-0400 (EDT)
Data source: U.S. Energy Information Administration
Month,conventional hydroelectric thousand megawatthours
Jan 2005,24272.16485
Dec 2004,26210.71849
Nov 2004,20937.04438
Oct 2004,18862.7954
Sep 2004,20525.26137
Aug 2004,21591.96742
Jul 2004,23318.27953
Jun 2004,25252.34503
May 2004,24019.71812
Apr 2004,20887.97481
Mar 2004,22914.28123
Feb 2004,20913.61671
Jan 2004,22983.30588
Dec 2003,24044.33
Nov 2003,19715.265
Oct 2003,18428.423
Sep 2003,18480.455
Aug 2003,22972.03
Jul 2003,24843.095
Jun 2003,28586.3
May 2003,29395.256
Apr 2003,24758.962
Mar 2003,24202.273
Feb 2003,19779.86
Jan 2003,20600.079
Dec 2002,21668.54
Nov 2002,19730.029
Oct 2002,17171.334
Sep 2002,17086.782
Aug 2002,21083.924
Jul 2002,25470.647
Jun 2002,28212.847
May 2002,26662.695
Apr 2002,24246.605
Mar 2002,21008.813
Feb 2002,20191.683
Jan 2002,21794.932
Dec 2001,19346.314
Nov 2001,15412.929
Oct 2001,15234.503
Sep 2001,15256.027
Aug 2001,18913.768
Jul 2001,18079.119
Jun 2001,20727.63
May 2001,19175.635
Apr 2001,18012.994
Mar 2001,20477.189
Feb 2001,17472.889
Jan 2001,18852.048
